frame_etg frame_gar X Y event_type code
48 40 350.63 275.13 Fixation 1125837812
49 41 349.57 274.85 Fixation 1125855621
49 41 348.73 274.62 Fixation 1125871088
50 42 347.71 274.96 Fixation 1125887717
50 42 347.90 274.32 Fixation 1125904162
51 43 348.30 273.94 Fixation 1125920741
51 43 348.28 272.45 Fixation 1125937355
52 43 349.11 272.83 Fixation 1125954257
52 43 347.94 274.21 Fixation 1125970593
52 43 342.81 271.56 Fixation 1125987234
53 44 342.23 272.92 Fixation 1126003841
54 45 342.16 272.79 Fixation 1126020424
54 45 341.83 272.70 Fixation 1126037037
55 46 340.96 273.47 Fixation 1126053554
55 46 338.90 273.87 Fixation 1126070255
56 47 337.31 276.80 Fixation 1126086979
56 47 336.52 278.00 Fixation 1126103441
57 48 336.17 278.83 Fixation 1126119888
57 48 334.69 279.79 Fixation 1126136468
58 48 334.79 279.40 Fixation 1126153122
58 48 334.32 280.59 Fixation 1126169832
59 49 333.50 280.21 Fixation 1126186346
59 49 332.60 281.04 Fixation 1126202978
60 50 332.20 283.30 Fixation 1126219737
60 50 332.94 280.94 Fixation 1126236071
61 51 331.44 282.92 Fixation 1126252722
61 51 332.38 282.37 Fixation 1126269311
62 52 332.28 280.72 Fixation 1126285972
62 52 332.42 280.11 Fixation 1126302546
63 53 331.87 279.76 Fixation 1126319142
63 53 332.11 281.03 Fixation 1126335618
64 53 331.57 280.25 Fixation 1126352437
64 53 331.71 280.60 Fixation 1126368989
65 54 331.73 282.14 Fixation 1126385611
65 54 329.26 280.85 Saccade 1126402146
66 55 349.69 280.28 Saccade 1126418714
66 55 440.24 282.24 Saccade 1126435233
67 56 516.76 291.79 Saccade 1126452058
67 56 541.32 291.37 Saccade 1126468441
67 56 542.56 289.85 Fixation 1126485088
68 57 542.89 289.39 Fixation 1126501799
69 57 542.33 287.45 Fixation 1126518336
69 57 542.62 284.94 Fixation 1126534862
70 58 542.86 282.90 Fixation 1126551529
70 58 542.73 282.16 Fixation 1126568061
71 59 543.33 279.91 Fixation 1126584763
71 59 543.12 280.08 Fixation 1126601297
72 60 543.96 278.92 Fixation 1126617827
72 60 544.63 276.88 Fixation 1126634311
73 61 545.54 276.57 Saccade 1126651114
73 61 575.38 270.93 Saccade 1126667704
74 62 601.17 268.97 Saccade 1126684244
74 62 602.64 266.96 Fixation 1126700833
75 63 603.92 265.58 Fixation 1126717476
75 63 605.42 264.10 Fixation 1126734010
76 63 606.30 262.67 Fixation 1126750546
76 63 606.16 261.08 Fixation 1126767308
77 64 605.09 259.37 Fixation 1126783850
77 64 605.11 259.84 Fixation 1126800449
78 65 605.73 258.66 Saccade 1126817007
78 65 611.72 255.49 Saccade 1126833478
78 65 618.76 253.80 Saccade 1126850490
79 66 621.14 252.05 Fixation 1126866808
80 67 621.59 248.86 Fixation 1126883348
80 67 620.81 248.72 Fixation 1126900042
81 68 620.60 247.96 Fixation 1126916566
81 68 620.56 247.66 Fixation 1126933216
82 68 619.10 245.67 Fixation 1126949803
82 68 619.76 243.68 Fixation 1126966316
82 68 619.48 244.07 Fixation 1126983683
83 69 619.32 243.63 Fixation 1126999601
84 70 619.06 242.63 Fixation 1127016222
84 70 618.64 243.07 Fixation 1127032650
84 70 618.49 242.95 Fixation 1127049255
85 71 619.10 242.60 Fixation 1127065979
86 72 618.07 242.18 Fixation 1127082597
86 72 618.42 241.81 Fixation 1127099191
87 73 619.28 243.41 Fixation 1127115712
87 73 619.53 244.12 Fixation 1127132258
88 73 620.06 244.93 Fixation 1127149007
88 73 621.04 244.64 Fixation 1127165584
89 74 622.23 244.87 Fixation 1127182178
89 74 621.92 245.32 Fixation 1127198690
90 75 621.41 246.05 Fixation 1127215355
90 75 622.67 245.78 Fixation 1127231838
90 75 623.54 245.83 Fixation 1127248407
91 76 624.06 245.90 Fixation 1127265067
92 77 624.05 247.18 Fixation 1127281718
92 77 625.36 247.34 Fixation 1127298375
93 78 624.77 247.20 Fixation 1127314775
93 78 624.24 247.48 Fixation 1127331297
94 78 625.14 245.61 Fixation 1127348050
94 78 625.03 245.61 Fixation 1127364781
95 79 625.37 246.07 Fixation 1127381345
95 79 627.00 245.13 Fixation 1127397831
96 80 625.65 245.35 Fixation 1127414466
96 80 626.09 245.87 Fixation 1127431059
96 80 626.31 245.60 Fixation 1127447696
97 81 626.78 246.80 Fixation 1127464187
97 81 629.22 247.93 Fixation 1127481619
98 82 627.36 250.13 Fixation 1127497429
99 83 628.42 249.78 Fixation 1127513971
99 83 629.90 251.51 Fixation 1127530489
100 83 630.89 253.71 Fixation 1127547196
100 83 631.46 254.57 Fixation 1127563866
101 84 630.80 254.57 Fixation 1127580442
101 84 632.07 255.44 Saccade 1127596941
102 85 589.99 259.34 Saccade 1127613619
102 85 537.78 270.89 Saccade 1127630104
102 85 533.48 271.33 Saccade 1127646796
103 86 530.89 272.69 Fixation 1127663450
103 86 530.43 273.04 Fixation 1127679943
104 87 531.63 272.41 Fixation 1127696573
105 88 531.63 273.45 Fixation 1127713198
105 88 531.21 274.26 Fixation 1127729781
106 88 532.23 275.46 Fixation 1127746314
106 88 532.65 275.69 Fixation 1127762938
107 89 533.44 276.07 Fixation 1127779609
107 89 533.58 276.50 Fixation 1127796219
108 90 533.72 277.93 Fixation 1127812759
108 90 532.21 277.77 Fixation 1127829228
108 90 533.06 277.25 Fixation 1127845828
109 91 535.84 277.81 Fixation 1127862574
110 92 536.92 274.00 Fixation 1127879125
110 92 537.31 269.19 Fixation 1127895689
111 93 537.95 265.62 Fixation 1127912459
111 93 538.54 262.18 Fixation 1127928884
112 93 539.80 256.11 Fixation 1127945538
112 93 539.68 251.72 Fixation 1127962170
112 93 540.69 245.60 Fixation 1127978719
113 94 541.57 241.17 Fixation 1127995451
114 95 542.99 237.59 Fixation 1128011866
114 95 543.30 232.12 Saccade 1128028367
115 96 540.03 226.82 Saccade 1128045045
115 96 511.40 221.89 Saccade 1128061687
116 97 501.63 220.01 Saccade 1128078270
116 97 500.80 217.35 Fixation 1128094816
117 98 501.04 212.26 Fixation 1128111462
117 98 502.89 207.60 Fixation 1128127970
118 98 503.57 204.48 Fixation 1128144616
118 98 503.94 201.49 Fixation 1128161315
119 99 503.71 198.66 Fixation 1128177801
119 99 502.01 196.26 Fixation 1128194552
120 100 504.02 192.84 Fixation 1128211083
120 100 503.27 192.65 Fixation 1128227642
120 100 505.04 192.90 Fixation 1128244237
121 101 504.49 193.28 Fixation 1128260805
122 102 503.74 195.66 Fixation 1128277495
122 102 503.44 195.13 Fixation 1128294105
123 102 502.88 195.23 Fixation 1128310454
123 102 503.50 198.31 Fixation 1128327121
124 103 503.77 199.95 Fixation 1128343809
124 103 504.79 202.09 Fixation 1128360333
125 104 506.49 206.90 Fixation 1128376956
125 104 508.27 210.08 Saccade 1128393563
125 104 526.59 213.82 Saccade 1128410150
126 105 553.79 213.16 Saccade 1128426821
126 105 561.57 216.15 Saccade 1128443477
127 106 566.16 217.95 Saccade 1128459918
127 106 567.76 224.11 Saccade 1128476515
128 107 570.05 228.20 Saccade 1128493185
129 108 572.34 231.05 Saccade 1128509798
129 108 575.07 236.23 Saccade 1128526270
130 108 577.77 241.11 Saccade 1128542891
130 108 579.28 245.23 Saccade 1128559449
130 108 580.50 246.61 Saccade 1128576210
131 109 578.40 249.26 Saccade 1128592666
132 110 546.17 261.74 Saccade 1128609433
132 110 533.00 273.33 Saccade 1128625950
132 110 531.36 274.13 Fixation 1128642618
133 111 529.31 278.84 Fixation 1128659059
134 112 528.73 279.56 Fixation 1128675909
134 112 526.89 280.33 Fixation 1128692323
135 113 524.42 282.25 Fixation 1128708959
135 113 522.59 284.52 Fixation 1128725509
136 113 519.71 285.09 Fixation 1128742137
136 113 517.46 285.85 Fixation 1128758717
137 114 515.71 284.59 Fixation 1128775293
137 114 513.00 285.57 Fixation 1128791942
138 115 512.02 286.95 Fixation 1128808486
138 115 510.86 285.17 Fixation 1128825049
138 115 508.46 288.31 Fixation 1128841635
139 116 505.65 287.66 Fixation 1128859331
140 117 505.07 288.40 Fixation 1128874802
140 117 504.78 289.22 Fixation 1128891483
140 117 502.55 289.32 Fixation 1128908200
141 118 502.74 290.34 Fixation 1128924561
142 118 502.77 291.20 Fixation 1128941263
142 118 503.41 292.07 Fixation 1128957853
142 118 503.11 295.02 Fixation 1128974464
143 119 504.16 295.95 Fixation 1128991058
144 120 504.45 297.07 Fixation 1129007735
144 120 505.33 298.23 Fixation 1129024179
144 120 505.74 299.88 Fixation 1129040848
145 121 506.57 299.04 Fixation 1129057454
146 122 506.85 299.24 Fixation 1129074187
146 122 508.07 298.09 Saccade 1129090600
146 122 529.38 301.35 Saccade 1129107186
147 123 537.85 301.40 Saccade 1129123816
148 123 539.16 299.64 Fixation 1129140456
148 123 539.14 298.42 Fixation 1129156915
149 124 538.53 298.04 Fixation 1129173606
149 124 539.15 295.99 Fixation 1129190304
150 125 537.93 295.26 Fixation 1129206682
150 125 537.14 296.16 Fixation 1129223417
150 125 535.84 293.53 Fixation 1129239852
151 126 535.43 293.20 Fixation 1129256572
152 127 534.06 293.11 Fixation 1129273179
152 127 532.06 293.67 Fixation 1129289742
152 127 530.13 293.61 Saccade 1129306288
153 127 517.10 292.81 Saccade 1129322960
153 127 482.40 288.95 Saccade 1129339517
154 128 474.87 289.60 Saccade 1129356213
155 129 472.19 290.79 Fixation 1129372718
155 129 470.76 291.99 Fixation 1129389329
155 129 470.05 295.52 Fixation 1129405943
156 130 469.38 295.91 Fixation 1129422526
156 130 469.82 298.61 Fixation 1129439183
157 131 470.16 300.56 Fixation 1129455726
157 131 471.15 303.02 Fixation 1129472322
158 132 473.65 303.37 Fixation 1129488947
159 133 475.22 306.74 Fixation 1129505598
159 133 476.21 307.23 Fixation 1129522002
160 133 479.91 311.58 Fixation 1129538561
160 133 482.06 311.46 Fixation 1129555306
161 134 483.57 313.36 Fixation 1129571871
161 134 485.81 316.02 Fixation 1129588529
162 135 488.87 318.45 Fixation 1129605148
162 135 491.60 318.13 Fixation 1129621676
162 135 493.06 319.89 Fixation 1129638224
163 136 496.87 319.48 Fixation 1129654813
163 136 496.85 319.13 Fixation 1129671390
164 137 499.14 319.33 Fixation 1129688091
165 138 499.69 319.44 Fixation 1129704701
165 138 498.23 320.02 Fixation 1129721293
165 138 497.98 320.16 Fixation 1129737786
166 138 494.54 320.55 Fixation 1129754514
167 139 492.11 320.77 Fixation 1129770982
167 139 489.06 320.65 Fixation 1129787690
167 139 485.77 321.93 Fixation 1129804270
168 140 483.51 320.50 Fixation 1129820784
168 140 481.58 322.08 Fixation 1129837333
169 141 477.99 321.62 Fixation 1129854066
169 141 476.52 319.88 Fixation 1129870599
170 142 477.15 320.14 Fixation 1129887211
171 143 477.49 316.28 Fixation 1129903831
171 143 478.16 314.08 Fixation 1129920401
171 143 477.93 313.38 Fixation 1129936915
172 143 477.11 311.72 Fixation 1129953586
172 143 476.17 311.28 Fixation 1129970234
173 144 474.12 310.33 Fixation 1129986972
173 144 471.76 307.88 Fixation 1130003698
174 145 469.96 306.34 Fixation 1130019988
174 145 467.07 305.46 Fixation 1130036569
175 146 466.57 302.91 Fixation 1130053159
175 146 466.01 302.33 Fixation 1130069927
176 147 466.23 300.36 Fixation 1130086389
177 148 467.40 298.95 Fixation 1130102922
177 148 469.92 298.66 Fixation 1130119603
177 148 472.02 297.82 Fixation 1130136200
178 148 478.40 296.61 Fixation 1130152657
178 148 481.34 296.44 Fixation 1130169313
179 149 487.25 297.26 Fixation 1130185920
180 150 492.05 296.50 Fixation 1130202606
180 150 496.17 297.31 Fixation 1130219077
180 150 497.48 296.98 Saccade 1130235704
181 151 484.74 301.43 Saccade 1130252208
182 152 459.78 312.20 Saccade 1130268884
182 152 459.06 311.51 Fixation 1130285567
182 152 456.37 310.73 Fixation 1130302255
183 153 455.82 307.27 Fixation 1130318645
183 153 455.67 302.79 Fixation 1130335256
184 153 455.84 298.72 Fixation 1130351819
184 153 456.23 293.95 Fixation 1130368318
185 154 455.37 291.21 Fixation 1130384924
186 155 456.90 290.36 Saccade 1130401565
186 155 466.02 289.15 Saccade 1130418160
186 155 506.90 282.96 Saccade 1130434703
187 156 524.07 282.81 Saccade 1130451369
187 156 525.43 282.46 Fixation 1130467918
187 156 527.29 283.54 Fixation 1130484549
188 157 527.99 284.54 Fixation 1130501346
189 158 528.52 283.53 Fixation 1130517659
190 158 527.68 279.90 Fixation 1130534319
190 158 528.46 278.92 Fixation 1130550915
190 158 527.09 276.61 Fixation 1130567497
191 159 526.27 274.23 Saccade 1130584094
192 160 533.53 275.95 Saccade 1130600695
192 160 559.58 290.06 Saccade 1130617278
192 160 561.66 288.70 Fixation 1130634014
193 161 562.30 290.16 Fixation 1130650455
193 161 562.47 289.32 Fixation 1130667040
194 162 562.23 288.76 Fixation 1130683664
194 162 562.42 288.76 Fixation 1130700242
195 163 562.50 288.87 Fixation 1130716947
196 163 562.91 289.62 Fixation 1130733489
196 163 562.80 288.52 Fixation 1130750201
196 163 562.61 289.04 Fixation 1130766668
197 164 564.28 287.30 Saccade 1130783438
197 164 595.78 275.64 Saccade 1130799976
198 165 613.52 270.33 Saccade 1130817266
198 165 614.48 267.86 Fixation 1130833080
199 166 613.76 267.86 Fixation 1130849719
199 166 611.35 269.34 Fixation 1130866396
200 167 609.95 267.83 Fixation 1130882951
200 167 609.12 267.75 Fixation 1130899577
201 168 605.44 265.20 Fixation 1130916214
201 168 602.97 265.44 Saccade 1130932645
202 168 601.95 256.43 Saccade 1130949274
202 168 604.96 240.04 Saccade 1130965997
203 169 602.06 237.61 Saccade 1130982587
203 169 594.65 235.20 Saccade 1130999023
204 170 588.37 231.03 Saccade 1131015746
204 170 578.93 228.90 Saccade 1131032364
205 171 569.28 225.53 Saccade 1131048919
205 171 582.45 225.77 Saccade 1131065571
206 172 664.16 236.02 Saccade 1131082117
206 172 723.98 423.09 Saccade 1131098672
207 173 839.53 254.10 Saccade 1131115293
207 173 903.98 263.63 Saccade 1131131760
208 173 916.70 260.89 Saccade 1131148472
208 173 904.23 254.42 Saccade 1131165119
209 174 887.15 248.06 Saccade 1131181670
209 174 909.23 260.33 Saccade 1131198307
210 175 998.02 317.04 Saccade 1131214803
210 175 1086.29 365.71 Saccade 1131231359
211 176 1163.37 393.38 Saccade 1131247992
211 176 1187.85 401.96 Saccade 1131264716
212 177 1166.99 391.78 Saccade 1131281192
212 177 1162.49 387.31 Saccade 1131297809
213 178 1158.10 386.80 Saccade 1131314457
213 178 1145.75 383.47 Saccade 1131330962
214 178 552.26 491.67 Saccade 1131347800
214 178 1141.17 379.86 Saccade 1131364256
215 179 1141.17 378.00 Saccade 1131380783
215 179 1227.88 413.91 Saccade 1131397403
216 180 1393.26 480.63 Saccade 1131414154
216 180 1554.83 535.52 Saccade 1131430518
217 181 1679.35 579.82 Saccade 1131447183
217 181 1674.15 578.09 Saccade 1131463840
217 181 1466.59 420.84 Saccade 1131480554
218 182 1503.01 522.59 Saccade 1131497064
219 183 1417.06 501.17 Saccade 1131513554
219 183 1345.19 479.85 Saccade 1131530225
220 183 1303.74 467.54 Saccade 1131546839
220 183 1236.65 476.54 Saccade 1131563414
221 184 1228.45 474.39 Saccade 1131579911
221 184 1257.95 481.35 Saccade 1131596561
222 185 1234.73 471.67 Saccade 1131613135
222 185 1193.63 458.64 Saccade 1131629687
223 186 1149.95 449.74 Saccade 1131646335
223 186 1114.04 441.88 Saccade 1131662960
224 187 1084.89 435.71 Saccade 1131679585
224 187 1065.28 431.06 Saccade 1131696076
225 188 1045.35 424.88 Fixation 1131712693
225 188 1033.83 419.63 Fixation 1131729201
226 188 1028.34 415.02 Fixation 1131745930
226 188 1023.24 413.27 Fixation 1131762576
227 189 1019.71 407.96 Fixation 1131779072
227 189 1017.96 403.52 Fixation 1131795710
228 190 1021.64 402.51 Fixation 1131812333
228 190 1022.55 401.73 Fixation 1131828827
229 191 1025.73 398.05 Fixation 1131845986
229 191 1034.52 393.72 Fixation 1131862109
230 192 1043.63 395.33 Blink 1131878667
230 192 1023.13 387.14 Blink 1131895307
231 193 874.00 351.94 Blink 1131911951
231 193 740.34 324.55 Blink 1131928437
232 193 621.07 291.95 Blink 1131945101
232 193 525.11 272.27 Blink 1131961689
232 193 NaN NaN Blink 1131978317
233 194 360.82 248.81 Blink 1131994849
234 195 305.29 227.10 Blink 1132011451
234 195 262.71 253.97 Blink 1132028052
234 195 255.37 266.20 Blink 1132044625
235 196 282.85 272.53 Blink 1132061261
236 197 306.87 274.23 Blink 1132077811
236 197 324.01 278.30 Blink 1132094454
237 198 340.71 278.64 Fixation 1132110928
237 198 355.54 280.43 Fixation 1132127465
238 198 366.83 280.79 Fixation 1132144179
238 198 375.77 280.88 Fixation 1132160824
239 199 381.69 278.09 Fixation 1132177448
239 199 391.90 276.25 Fixation 1132193966
240 200 394.65 273.90 Fixation 1132210570
240 200 397.51 271.86 Fixation 1132227099
241 201 401.34 270.41 Fixation 1132243802
241 201 404.18 266.64 Fixation 1132260457
242 202 406.41 267.05 Fixation 1132276969
242 202 410.01 264.21 Fixation 1132293571
243 203 411.77 261.15 Fixation 1132310139
243 203 413.53 260.85 Fixation 1132326726
244 203 413.55 260.76 Fixation 1132343512
244 203 416.30 259.82 Fixation 1132359829
245 204 418.99 260.00 Fixation 1132376542
245 204 421.08 260.43 Fixation 1132393207
246 205 424.10 262.30 Fixation 1132409822
246 205 425.40 264.42 Fixation 1132426232
247 206 426.20 265.55 Fixation 1132442904
247 206 426.07 266.44 Fixation 1132459614
247 206 427.40 268.21 Fixation 1132476183
248 207 427.78 269.06 Fixation 1132492643
249 208 429.54 269.97 Fixation 1132509324
249 208 431.54 274.40 Saccade 1132525862
250 208 418.73 270.51 Saccade 1132542536
250 208 406.96 269.47 Saccade 1132559117
251 209 407.59 269.77 Fixation 1132575769
251 209 407.27 268.85 Fixation 1132592326
252 210 407.70 269.39 Fixation 1132608949
252 210 409.01 272.75 Fixation 1132625382
253 211 410.61 269.16 Fixation 1132642058
253 211 413.81 269.19 Fixation 1132658681
254 212 413.87 269.73 Fixation 1132675319
254 212 414.22 268.79 Fixation 1132691955
255 213 414.59 269.45 Fixation 1132708460
255 213 414.63 267.81 Fixation 1132724968
256 213 415.32 266.39 Fixation 1132741721
256 213 415.74 266.94 Fixation 1132758297
257 214 416.27 267.97 Fixation 1132774864
257 214 417.03 268.40 Fixation 1132791495
258 215 415.38 272.00 Fixation 1132808086
258 215 416.97 271.08 Fixation 1132824635
259 216 416.79 272.92 Fixation 1132841498
259 216 415.48 278.71 Saccade 1132857788
260 217 406.13 281.33 Saccade 1132874378
260 217 352.45 290.61 Saccade 1132891050
261 217 337.60 293.97 Saccade 1132907693
261 217 333.82 293.16 Fixation 1132924098
262 218 333.81 293.87 Fixation 1132940792
262 218 333.55 294.12 Fixation 1132957463
262 218 333.66 294.40 Fixation 1132974108
263 219 333.31 293.19 Fixation 1132990804
264 220 331.75 293.68 Fixation 1133007166
264 220 332.32 292.05 Fixation 1133023679
265 221 332.45 291.06 Fixation 1133040437
265 221 331.64 290.62 Fixation 1133056962
266 222 330.63 290.69 Fixation 1133073619
266 222 331.11 290.92 Fixation 1133090124
267 223 331.22 289.58 Fixation 1133106844
267 223 332.31 289.14 Fixation 1133123242
268 223 334.45 286.07 Fixation 1133139912
268 223 335.38 285.46 Fixation 1133156582
269 224 335.59 284.70 Fixation 1133173196
269 224 334.24 282.90 Fixation 1133189795
270 225 331.89 282.84 Saccade 1133206320
270 225 348.07 282.65 Saccade 1133222850
271 226 410.66 288.13 Saccade 1133239574
271 226 435.61 292.76 Saccade 1133256350
272 227 435.83 292.09 Fixation 1133272672
272 227 436.00 292.10 Fixation 1133289349
273 228 436.16 291.95 Fixation 1133305969
273 228 435.62 291.95 Fixation 1133322422
274 228 436.56 291.22 Fixation 1133339028
274 228 436.07 291.09 Fixation 1133355730
275 229 435.85 290.71 Fixation 1133372349
275 229 436.23 291.53 Fixation 1133388862
276 230 435.93 292.58 Fixation 1133405565
276 230 434.42 293.16 Fixation 1133422093
277 231 434.68 294.32 Fixation 1133438698
277 231 433.09 296.97 Fixation 1133455354
277 231 432.68 299.97 Fixation 1133471922
278 232 432.61 300.11 Fixation 1133488574
279 233 433.11 301.67 Fixation 1133505123
279 233 433.17 305.42 Fixation 1133521639
280 233 432.96 307.27 Fixation 1133538306
280 233 432.37 309.87 Fixation 1133554849
281 234 431.87 311.62 Saccade 1133571485
281 234 417.96 304.22 Saccade 1133588077
282 235 415.83 302.66 Fixation 1133604691
282 235 414.36 303.29 Fixation 1133621178
282 235 415.43 303.30 Fixation 1133637776
283 236 414.43 303.03 Fixation 1133654459
284 237 414.31 302.39 Fixation 1133671101
284 237 412.60 305.62 Fixation 1133687705
285 238 413.52 305.73 Fixation 1133704206
285 238 414.18 303.78 Saccade 1133720794
286 238 468.33 283.66 Saccade 1133737415
286 238 557.61 258.39 Saccade 1133754183
287 239 612.72 247.39 Saccade 1133770580
287 239 616.56 240.81 Saccade 1133787202
288 240 617.15 240.40 Saccade 1133803829
288 240 617.69 237.91 Saccade 1133820369
288 240 618.61 237.36 Saccade 1133837070
289 241 620.32 229.90 Saccade 1133853507
290 242 619.93 228.68 Saccade 1133870256
290 242 619.52 225.94 Saccade 1133886788
291 242 623.78 221.52 Saccade 1133903303
291 242 648.15 214.44 Saccade 1133919874
292 243 651.43 211.57 Saccade 1133936601
292 243 655.53 209.71 Fixation 1133953235
292 243 659.81 208.99 Fixation 1133969796
293 244 665.00 205.06 Fixation 1133986421
294 245 668.69 204.97 Fixation 1134002965
294 245 674.24 202.06 Fixation 1134019606
294 245 679.98 200.14 Saccade 1134036110
295 246 664.28 205.48 Saccade 1134052668
296 247 555.19 240.99 Saccade 1134069360
296 247 464.54 277.92 Saccade 1134085906
297 248 444.21 281.47 Saccade 1134102557
297 248 442.62 281.53 Fixation 1134119087
298 248 442.29 281.80 Fixation 1134135543
298 248 442.42 280.63 Fixation 1134152298
299 249 443.46 280.84 Fixation 1134168963
299 249 443.35 278.94 Fixation 1134185452
300 250 445.21 279.58 Fixation 1134202031
300 250 444.30 279.73 Fixation 1134218661
300 250 445.23 279.01 Fixation 1134235172
301 251 445.89 277.45 Fixation 1134251914
302 252 445.72 276.62 Fixation 1134268479
302 252 446.23 275.62 Fixation 1134285076
303 253 447.47 275.48 Fixation 1134301863
303 253 447.97 274.60 Fixation 1134318299
304 253 446.92 274.29 Saccade 1134334694
304 253 421.32 272.03 Saccade 1134351549
305 254 415.88 271.20 Saccade 1134368141
305 254 414.57 270.59 Fixation 1134384702
306 255 414.20 270.44 Fixation 1134401225
306 255 415.36 269.66 Fixation 1134417798
306 255 415.73 269.99 Fixation 1134434350
307 256 416.65 269.49 Fixation 1134451051
307 256 417.97 268.73 Fixation 1134467690
308 257 419.70 270.01 Fixation 1134484971
309 258 421.18 268.43 Fixation 1134500858
309 258 424.45 266.29 Fixation 1134517364
310 258 425.97 266.31 Fixation 1134534012
310 258 426.66 264.60 Fixation 1134550545
311 259 428.25 263.26 Fixation 1134567138
311 259 428.94 262.48 Saccade 1134583815
312 260 412.61 261.56 Saccade 1134600446
312 260 411.38 260.61 Fixation 1134616950
312 260 411.29 260.51 Fixation 1134633440
313 261 410.19 260.05 Fixation 1134650137
314 262 409.80 259.13 Fixation 1134666808
314 262 410.13 258.15 Fixation 1134683342
315 263 410.44 256.25 Fixation 1134700077
315 263 410.95 253.94 Fixation 1134716534
